Timestamp,XT,Weekday,Holiday,XTForecastEstimation
2018-02-23 17:00:00,4246.499783994001,5,0,4424.767988763724
2018-02-23 18:00:00,4787.749235056,5,0,5079.9979981368015
2018-02-23 19:00:00,5122.305740522001,5,0,5420.710241033921
2018-02-23 20:00:00,5084.2277023139995,5,0,5400.994524294242
2018-02-23 21:00:00,4832.644257873,5,0,5084.75968825053
2018-02-23 22:00:00,4365.472650581,5,0,4517.319696066759
2018-02-23 23:00:00,3958.9057966659993,5,0,4077.405928527533
2018-02-24 00:00:00,3395.7048346009997,6,0,3412.5006728849244
2018-02-24 01:00:00,2950.0893979079997,6,0,2953.360829629248
2018-02-24 02:00:00,2915.626784564,6,0,2889.4849152238708
2018-02-24 03:00:00,2746.7859634479996,6,0,2708.1990536637923
2018-02-24 04:00:00,2634.033529624,6,0,2567.8486192952673
2018-02-24 05:00:00,2656.006734509,6,0,2575.3726374838625
2018-02-24 06:00:00,2836.357016718,6,0,2746.132133169569
2018-02-24 07:00:00,3107.8984274100003,6,0,3036.6424818519886
2018-02-24 08:00:00,3607.46454739,6,0,3519.248393253965
2018-02-24 09:00:00,4210.705836366,6,0,4076.031668302715
2018-02-24 10:00:00,4525.307217961001,6,0,4414.063404545674
2018-02-24 11:00:00,4618.445190566999,6,0,4585.01378698213
2018-02-24 12:00:00,4674.420131428999,6,0,4714.468486619252
2018-02-24 13:00:00,4590.373041699,6,0,4733.896845364535
2018-02-24 14:00:00,4329.839104559,6,0,4457.611165434428
2018-02-24 15:00:00,4457.561819839,6,0,4535.012512569406
2018-02-24 16:00:00,4298.4708840250005,6,0,4396.5053053503525
2018-02-24 17:00:00,4208.272889279,6,0,4268.584770002377
2018-02-24 18:00:00,4758.3998842050005,6,0,4777.82953891095
2018-02-24 19:00:00,5123.8225631860005,6,0,5145.020846366014
2018-02-24 20:00:00,5035.892273531,6,0,5086.988181091674
2018-02-24 21:00:00,4705.674512695,6,0,4721.923901489651
2018-02-24 22:00:00,4267.2527166400005,6,0,4272.904498104999
2018-02-24 23:00:00,3938.892921844,6,0,3955.4323184390732
2018-02-25 00:00:00,3438.2949209189997,7,0,3438.0136765268485
2018-02-25 01:00:00,3004.1216627679996,7,0,3000.4627523704808
2018-02-25 02:00:00,2938.150288958,7,0,2943.427922059426
2018-02-25 03:00:00,2746.9049215510004,7,0,2755.8509424438557
2018-02-25 04:00:00,2598.6764919360003,7,0,2599.734686287166
2018-02-25 05:00:00,2586.291139379,7,0,2588.3251958010037
2018-02-25 06:00:00,2705.722521488,7,0,2738.486666474503
2018-02-25 07:00:00,2850.73001976,7,0,2983.6093451530214
2018-02-25 08:00:00,3199.245974758,7,0,3317.090403117782
2018-02-25 09:00:00,3653.612818425,7,0,3802.2103226705026
2018-02-25 10:00:00,4177.412797904,7,0,4312.423744606261
2018-02-25 11:00:00,4702.073378589999,7,0,4755.550193628593
2018-02-25 12:00:00,4979.655361845,7,0,4931.978869525614
2018-02-25 13:00:00,4939.767611543,7,0,4787.253092798656
2018-02-25 14:00:00,4507.324902812,7,0,4343.356638783348
2018-02-25 15:00:00,4554.7291718940005,7,0,4406.113142423241
2018-02-25 16:00:00,4480.748314629,7,0,4327.375393226264
2018-02-25 17:00:00,4406.99194603,7,0,4244.709718022394
2018-02-25 18:00:00,4855.13578164,7,0,4711.947949220878
2018-02-25 19:00:00,5161.3898543959995,7,0,5051.765425349557
2018-02-25 20:00:00,5147.948201112,7,0,5096.464243219317
2018-02-25 21:00:00,4942.20513923,7,0,4860.582713453184
2018-02-25 22:00:00,4484.121464819,7,0,4449.222071682593
2018-02-25 23:00:00,4047.6637472820003,7,0,4092.095246843012
2018-02-26 00:00:00,3469.383253532,1,0,3434.6532951448244
2018-02-26 01:00:00,2990.314754543,1,0,2959.85888337248
2018-02-26 02:00:00,2951.588420693,1,0,2934.5297834632256
2018-02-26 03:00:00,2796.219143412,1,0,2777.6590683149343
2018-02-26 04:00:00,2691.6933083960002,1,0,2685.7677650018536
2018-02-26 05:00:00,2755.75870172,1,0,2756.907741777889
2018-02-26 06:00:00,3109.430599015,1,0,3097.041646698564
2018-02-26 07:00:00,3747.3801681299997,1,0,3764.3452968736606
2018-02-26 08:00:00,4244.0989528949995,1,0,4194.484649330603
2018-02-26 09:00:00,4743.818760006,1,0,4692.236980887319
2018-02-26 10:00:00,4950.631043117,1,0,4952.71330736353
2018-02-26 11:00:00,4940.693931116,1,0,5042.423023719529
2018-02-26 12:00:00,4913.979246074001,1,0,5054.355237706704
2018-02-26 13:00:00,4782.716407784001,1,0,5005.153391445669
2018-02-26 14:00:00,4550.890855981,1,0,4782.467448674052
2018-02-26 15:00:00,4641.114335227,1,0,4944.992503064739
2018-02-26 16:00:00,4562.888420647,1,0,4862.272565806745
2018-02-26 17:00:00,4499.701027618,1,0,4742.7600585484915
2018-02-26 18:00:00,5031.838024007,1,0,5272.245921873483
